anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
casa_conforto,utilidades_domesticas,1,392,5743,1.051215204776722e-05,0.002551020408163265,0.00017412502176562773,0.04225552313908325
brinquedos,instrumentos_musicais,1,3804,611,1.051215204776722e-05,0.0002628811777076761,0.0016366612111292963,0.04092857720617973
cama_mesa_banho,moveis_escritorio,5,9271,1254,5.2560760238836095e-05,0.0005393161471254449,0.003987240829346092,0.04091233368720042
automotivo,instrumentos_musicais,1,3809,611,1.051215204776722e-05,0.00026253609871357313,0.0016366612111292963,0.04087485106125169
bebes,ferramentas_jardim,4,2808,3447,4.204860819106888e-05,0.0014245014245014246,0.0011604293588627793,0.03931243733970743
cool_stuff,telefonia,6,3556,4092,6.307291228660331e-05,0.001687289088863892,0.001466275659824047,0.03922493559272833
eletroportateis,telefonia,1,608,4092,1.051215204776722e-05,0.001644736842105263,0.00024437927663734115,0.03823571024335031
eletronicos,malas_acessorios,1,2517,1019,1.051215204776722e-05,0.0003972983710766786,0.0009813542688910696,0.037089498963476235
cama_mesa_banho,utilidades_domesticas,20,9271,5743,0.00021024304095534438,0.0021572645885017797,0.0034825004353125546,0.03573328674473225
brinquedos,construcao_ferramentas_construcao,1,3804,736,1.051215204776722e-05,0.0002628811777076761,0.001358695652173913,0.03397739221871714
ferramentas_jardim,informatica_acessorios,8,3447,6529,8.409721638213776e-05,0.0023208587177255585,0.0012253024965538366,0.033815078587807766
livros_interesse_geral,utilidades_domesticas,1,495,5743,1.051215204776722e-05,0.00202020202020202,0.00017412502176562773,0.03346295973842552
bebes,malas_acessorios,1,2808,1019,1.051215204776722e-05,0.00035612535612535614,0.0009813542688910696,0.033245822254654445
casa_construcao,informatica_acessorios,1,483,6529,1.051215204776722e-05,0.002070393374741201,0.00015316281206922958,0.03016578051039684
bebes,utilidades_domesticas,5,2808,5743,5.2560760238836095e-05,0.0017806267806267807,0.0008706251088281386,0.029494595923291726
papelaria,utilidades_domesticas,4,2264,5743,4.204860819106888e-05,0.0017667844522968198,0.0006965000870625109,0.029265309311873912
eletronicos,informatica_acessorios,5,2517,6529,5.2560760238836095e-05,0.001986491855383393,0.000765814060346148,0.028943329333575036
cama_mesa_banho,cool_stuff,10,9271,3556,0.00010512152047767219,0.0010786322942508899,0.00281214848143982,0.02885493050829546
alimentos,esporte_lazer,1,441,7528,1.051215204776722e-05,0.0022675736961451248,0.00013283740701381508,0.02865432393290295
informatica_acessorios,malas_acessorios,2,6529,1019,2.102430409553444e-05,0.00030632562413845916,0.001962708537782139,0.028596804684046462
instrumentos_musicais,relogios_presentes,1,611,5493,1.051215204776722e-05,0.0016366612111292963,0.0001820498816675769,0.02834376619193659
eletroportateis,utilidades_domesticas,1,608,5743,1.051215204776722e-05,0.001644736842105263,0.00017412502176562773,0.02724369255019841
ferramentas_jardim,malas_acessorios,1,3447,1019,1.051215204776722e-05,0.0002901073397156948,0.0009813542688910696,0.027082758599091872
consoles_games,cool_stuff,1,1018,3556,1.051215204776722e-05,0.0009823182711198428,0.00028121484814398203,0.026278394964873004
eletroportateis,moveis_decoracao,1,608,6303,1.051215204776722e-05,0.001644736842105263,0.00015865460891638903,0.02482318361348397
instrumentos_musicais,moveis_decoracao,1,611,6303,1.051215204776722e-05,0.0016366612111292963,0.00015865460891638903,0.024701302188213183
automotivo,consoles_games,1,3809,1018,1.051215204776722e-05,0.00026253609871357313,0.0009823182711198428,0.02453294105935637
automotivo,malas_acessorios,1,3809,1019,1.051215204776722e-05,0.00026253609871357313,0.0009813542688910696,0.024508865552919316
